"Date","Time","Scan for","Class,Distance from arrival","Atmosphere","Surface Gravity","Surface Temperature","Tidally Locked","Terraform State","Landable","Volcanism","Eccentricity","Orbital Inclination","Orbital Period","Rotational Period","Periapsis","Pressure","Semi-major axis"
25-October-3303,16:57,HIP 32135 3 b,Rocky body,2046.86ls,,0.07G,-66.58 °F,True,,True,Not set,0.0008,0.00°,2.15 days,2.15 days,152.80°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 1 b,Rocky body,1587.41ls,hot thick sulfur dioxide atmosphere,0.10G,1119.54 °F,True,,False,Not set,0.0006,0.25°,1.96 days,1.96 days,81.26°,35.27 atm,0.01 AU
25-October-3303,16:57,HIP 32135 3 e,Rocky body,2031.55ls,,0.08G,-124.23 °F,True,,True,Not set,0.0002,0.06°,21.13 days,21.13 days,194.25°,0 atm,0.03 AU
25-October-3303,16:57,HIP 32135 4 d,Rocky body,2646.91ls,,0.13G,-145.80 °F,True,,True,Not set,0.0026,0.07°,17.98 days,17.92 days,333.09°,0 atm,0.04 AU
25-October-3303,16:57,HIP 32135 1 a,Rocky body,1584.66ls,,0.15G,41.33 °F,True,,True,Not set,0.0022,-0.04°,1.17 days,1.17 days,295.79°,0 atm,0.00 AU
25-October-3303,16:57,HIP 32135 1 d,Rocky body,1582.27ls,,0.13G,-39.22 °F,True,,True,Not set,0.0010,-0.18°,7.22 days,7.22 days,195.51°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 4 f,Rocky body,2638.04ls,thin ammonia atmosphere,0.17G,-160.85 °F,True,,False,Not set,0.1144,-2.13°,3.30 days,4.71 days,237.44°,0.00 atm,0.00 AU
25-October-3303,16:57,HIP 32135 5 f,Rocky body,3932.08ls,,0.25G,-252.90 °F,False,,True,Not set,0.0019,-6.98°,135.74 days,0.48 days,145.05°,0 atm,0.12 AU
25-October-3303,16:57,HIP 32135 2,High metal content body,1554.77ls,nitrogen atmosphere,1.40G,-42.29 °F,True,Terraforming,False,Not set,0.0399,0.58°,75.37 days,75.40 days,282.90°,1.12 atm,0.07 AU
25-October-3303,16:57,HIP 32135 1 c,Rocky body,1583.50ls,,0.15G,-18.60 °F,False,,True,Not set,0.0236,-0.66°,4.04 days,-4.04 days,330.11°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 4 c,Rocky body,2648.72ls,,0.15G,-135.87 °F,False,,True,Not set,0.0010,0.01°,11.66 days,-11.61 days,131.75°,0 atm,0.03 AU
25-October-3303,16:57,HIP 32135 4 g,Rocky body,2638.03ls,,0.17G,-163.03 °F,False,,True,Not set,0.1144,-2.13°,3.30 days,3.47 days,57.44°,0 atm,0.00 AU
25-October-3303,16:57,HIP 32135 4 e,Rocky body,2653.13ls,thin ammonia atmosphere,0.15G,-153.27 °F,True,,False,Not set,0.0014,-0.70°,29.03 days,28.97 days,43.32°,0.00 atm,0.05 AU
25-October-3303,16:57,HIP 32135 5 b,Rocky body,3920.25ls,,0.21G,-252.90 °F,False,,True,Not set,0.0000,-0.04°,4.16 days,-4.16 days,68.90°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 3,Sudarsky class III gas giant,2044.09ls,,12.14G,389.45 °F,False,,False,Not set,0.0002,-0.08°,2524.75 days,1.35 days,63.05°,0 atm,4.10 AU
25-October-3303,16:57,HIP 32135 5 c,Rocky body,3927.34ls,,0.17G,-252.90 °F,True,,True,Not set,0.0009,0.55°,6.76 days,6.76 days,10.15°,0 atm,0.02 AU
25-October-3303,16:57,HIP 32135 4 c a,Rocky body,2648.70ls,,0.04G,-135.87 °F,True,,True,Not set,0,45.10°,0.52 days,0.53 days,311.88°,0 atm,0.00 AU
25-October-3303,16:57,HIP 32135 1,Sudarsky class III gas giant,1585.89ls,,17.52G,674.65 °F,False,,False,Not set,0.0399,0.58°,75.37 days,1.22 days,102.90°,0 atm,0.00 AU
25-October-3303,16:57,HIP 32135 3 c,Rocky body,2048.74ls,,0.06G,-91.50 °F,True,,True,Not set,0.0021,-0.09°,4.72 days,4.72 days,294.45°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 3 d,Rocky body,2049.51ls,,0.05G,-106.20 °F,True,,True,Not set,0.0000,-0.05°,8.46 days,8.46 days,230.71°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 3 a,Rocky body,2042.56ls,,0.07G,-42.80 °F,True,,True,Not set,0.0000,0.14°,1.19 days,1.19 days,143.26°,0 atm,0.00 AU
25-October-3303,16:57,HIP 32135 5 d,Rocky body,3944.03ls,,0.35G,-252.90 °F,True,,True,Not set,0.0005,0.26°,35.68 days,35.68 days,220.28°,0 atm,0.05 AU
25-October-3303,16:57,HIP 32135 4 b,Rocky body,2652.00ls,,0.13G,-122.61 °F,True,,True,Not set,0.0000,0.02°,7.11 days,7.07 days,28.80°,0 atm,0.02 AU
25-October-3303,16:57,HIP 32135 4 a,Rocky body,2652.67ls,,0.11G,-64.14 °F,True,,True,Not set,0.0001,-0.02°,1.54 days,1.51 days,93.47°,0 atm,0.01 AU
25-October-3303,16:57,HIP 32135 3 f,Rocky body,2048.48ls,,0.08G,-130.97 °F,True,,True,Not set,0.0009,-2.55°,32.49 days,32.49 days,239.63°,0 atm,0.03 AU
25-October-3303,16:57,HIP 32135 5 e,Rocky body,3945.94ls,thin nitrogen atmosphere,0.42G,-252.42 °F,True,,False,Not set,0.0003,0.65°,57.11 days,57.11 days,157.93°,0.01 atm,0.07 AU
